,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
797102,5330,10,98058,2019-04-11,729950,6735,3188,Traffic Noise,1,2,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
596331,5330,440,98058,2019-05-06,699950,4000,3322,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
334252,5330,460,98058,2019-05-14,699950,4000,3322,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
238416,5330,200,98058,2019-10-01,759950,5000,3054,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
367201,5330,230,98058,2019-10-22,699950,5400,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
169859,5330,70,98058,2019-10-29,676000,4781,3322,Traffic Noise,1,2,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
7189,5330,290,98058,2019-01-01,647950,5362,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
686942,5330,380,98058,2019-01-01,642950,4000,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
483861,5330,350,98058,2019-02-01,664950,4000,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
309261,5330,310,98058,2019-03-01,667950,4054,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
899388,5330,330,98058,2019-03-01,667950,4207,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
29136,5330,220,98058,2019-10-01,669950,5693,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
514439,5330,370,98058,2019-10-23,685000,4000,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
371960,5330,300,98058,2019-10-29,779950,5859,3054,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
112507,5330,190,98058,2019-10-28,669950,4000,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
798731,5330,170,98058,2019-10-28,794950,5461,3188,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,1
394867,5330,180,98058,2019-10-29,690000,4100,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
354402,5331,350,98058,2019-06-01,789950,5400,3188,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
392674,5331,380,98058,2019-06-01,687950,4320,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
565372,5331,410,98058,2019-06-21,647950,4246,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
861285,5331,400,98058,2019-06-21,667950,4320,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
295073,5331,140,98058,2019-07-01,684950,4320,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
717252,5331,10,98058,2019-07-01,734950,4524,3432,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,1,1
819410,5331,110,98058,2019-07-01,642950,4320,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
966195,5331,100,98058,2019-07-01,674950,4320,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
207408,5331,130,98058,2019-07-02,645950,4320,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
685924,5331,120,98058,2019-07-03,684950,4320,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
342647,5331,170,98058,2019-08-01,659950,4320,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
982541,5331,150,98058,2019-08-01,645950,4320,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
179303,5331,180,98058,2019-08-05,694108,5944,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
736432,5331,160,98058,2019-08-05,699950,4320,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
460276,5331,40,98058,2019-08-06,724950,4448,3322,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
578453,5331,50,98058,2019-08-07,724950,4320,3432,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,1,1
392309,5331,60,98058,2019-08-15,699950,4320,3322,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
233504,5331,200,98058,2019-08-21,742950,5503,3054,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
400023,5331,210,98058,2019-08-21,776950,5504,3188,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
639423,5331,230,98058,2019-09-02,684950,4404,2525,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
92831,5331,320,98058,2019-10-01,799950,6150,3188,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
